# px py pz mumu t real imag
0 0 0 0 0 1.139157360e+00 6.563264570e-21
0 0 0 0 1 9.558132037e-02 -2.705294193e-21
0 0 0 0 2 1.946838783e-02 7.946749994e-21
0 0 0 0 3 5.759329423e-03 -3.447889126e-21
0 0 0 0 4 2.209129698e-03 -4.617210704e-22
0 0 0 0 5 9.899424804e-04 1.123156175e-22
0 0 0 0 6 4.963118182e-04 -1.554962227e-22
0 0 0 0 7 2.422117397e-04 3.658674779e-22
0 0 0 0 8 1.197557827e-04 9.700914114e-23
0 0 0 0 9 5.730382997e-05 3.501562969e-23
0 0 0 0 10 2.920854242e-05 -1.489975234e-24
0 0 0 0 11 1.303773196e-05 -9.245298348e-24
0 0 0 0 12 5.181401797e-06 -2.864637937e-24
0 0 0 0 13 1.522606489e-06 -3.934762465e-24
0 0 0 0 14 1.579253694e-08 1.140867049e-23
0 0 0 0 15 -3.728042669e-07 -6.325528500e-24
0 0 0 0 16 -2.935088325e-07 6.677284733e-24
0 0 0 0 17 -2.468346852e-07 1.131213916e-24
0 0 0 0 18 -2.580993528e-07 -2.499631996e-24
0 0 0 0 19 -1.813801463e-07 -1.886505635e-25
0 0 0 0 20 -1.247746446e-07 3.410419243e-25
0 0 0 0 21 -8.083754751e-08 -3.073220649e-25
0 0 0 0 22 -4.118212982e-08 -1.504517491e-25
0 0 0 0 23 -2.367661867e-08 -8.422470670e-26
0 0 0 0 24 -1.571673254e-08 -1.463702320e-25
0 0 0 0 25 -9.004205281e-09 -8.397513083e-26
0 0 0 0 26 -4.411225438e-09 -3.648018231e-26
0 0 0 0 27 -2.887805759e-09 -1.759850072e-26
0 0 0 0 28 -1.331101574e-09 -4.023008193e-26
0 0 0 0 29 -1.021916455e-09 1.360110832e-26
0 0 0 0 30 -8.962761355e-10 1.126323275e-26
0 0 0 0 31 -6.089058814e-10 -4.823884435e-27
0 0 0 0 32 -2.865500723e-10 1.284795570e-28
0 0 0 0 33 -1.159373029e-11 -1.653387746e-27
0 0 0 0 34 3.904126723e-11 3.765196893e-28
0 0 0 0 35 -6.384888165e-12 -6.699347312e-28
0 0 0 0 36 -1.677791754e-12 -1.373650274e-28
0 0 0 0 37 5.879982272e-12 -1.030048964e-28
0 0 0 0 38 1.474078536e-12 3.370069254e-29
0 0 0 0 39 2.017544035e-12 -1.445479757e-28
0 0 0 0 40 2.693816734e-12 -2.882878793e-29
0 0 0 0 41 1.072669936e-12 -1.518085390e-29
0 0 0 0 42 -5.451508065e-13 -9.503910571e-29
0 0 0 0 43 -7.483995258e-13 4.979405204e-29
0 0 0 0 44 -6.172284208e-13 -5.106025469e-30
0 0 0 0 45 -3.147552845e-13 5.139777391e-30
0 0 0 0 46 6.113092787e-14 1.467414775e-29
0 0 0 0 47 1.654416560e-13 -5.230669247e-30
0 0 0 0 48 1.744914004e-13 7.155073494e-30
0 0 0 0 49 1.909535745e-13 -1.509303149e-30
0 0 0 0 50 1.013928700e-13 -1.220558102e-30
0 0 0 0 51 2.087276139e-13 1.037332651e-29
0 0 0 0 52 4.652758658e-13 5.826901047e-30
0 0 0 0 53 1.072758529e-12 1.062246661e-30
0 0 0 0 54 7.286025845e-13 1.980915244e-30
0 0 0 0 55 2.553963166e-13 4.355153531e-30
0 0 0 0 56 -4.095258870e-12 4.049142523e-29
0 0 0 0 57 -1.997118831e-11 -3.652759177e-28
0 0 0 0 58 -4.133695860e-11 3.105843221e-28
0 0 0 0 59 -6.028672501e-11 9.570716266e-30
0 0 0 0 60 -6.946077670e-11 -1.935559594e-28
0 0 0 0 61 -5.356949944e-11 -1.544672853e-28
0 0 0 0 62 -4.671916758e-11 7.008050770e-28
0 0 0 0 63 2.600761046e-11 8.080223674e-28
0 0 0 0 64 1.474272589e-10 -1.949068837e-27
0 0 0 0 65 4.296013084e-10 -3.247764999e-28
0 0 0 0 66 1.016362308e-09 -4.379607834e-27
0 0 0 0 67 2.132944951e-09 5.766326698e-28
0 0 0 0 68 3.488320801e-09 -2.842487709e-26
0 0 0 0 69 4.556955295e-09 1.442866039e-26
0 0 0 0 70 6.361978276e-09 1.732930194e-26
0 0 0 0 71 1.025302574e-08 6.404880019e-26
0 0 0 0 72 2.101908190e-08 1.660118332e-26
0 0 0 0 73 2.766728659e-08 -8.084246557e-27
0 0 0 0 74 3.899507103e-08 -1.376530725e-25
0 0 0 0 75 5.774382581e-08 -7.021856021e-25
0 0 0 0 76 9.251518284e-08 4.201410072e-25
0 0 0 0 77 1.833681011e-07 9.593889671e-26
0 0 0 0 78 2.883760332e-07 1.779039113e-26
0 0 0 0 79 4.276853376e-07 -2.487644466e-24
0 0 0 0 80 7.531773944e-07 -4.711657928e-24
0 0 0 0 81 1.463805463e-06 1.847979246e-24
0 0 0 0 82 3.119341171e-06 -9.303106075e-24
0 0 0 0 83 6.503897172e-06 8.310984114e-24
0 0 0 0 84 1.088832773e-05 -2.275877596e-23
0 0 0 0 85 1.816190803e-05 -2.553233517e-24
0 0 0 0 86 3.311852492e-05 3.788612413e-23
0 0 0 0 87 6.070618039e-05 -5.061897023e-23
0 0 0 0 88 1.124883863e-04 4.333428785e-23
